legajo,nombre,genero,sueldo,isEmpty,id Sector
4342,  Katalin,  , 13468.26, 1, 5
2507,  Jeniffer,  , 21849.09, 1, 5
5980,  Celestina,  , 24535.63, 1, 5
4549,  Pet,  , 10738.76, 1, 2
5966,  Winnifred,  , 29851.89, 1, 3
4209,  Chrissie,  , 21338.61, 1, 4
2670,  Vivien,  , 17170.48, 1, 3
2598,  Danyette,  , 7194.36, 1, 4
6976,  Devi,  , 24142.55, 1, 5
1606,  Robinia,  , 10504.06, 1, 3
3042,  Rodie,  , 10733.59, 1, 4
4748,  Ronna,  , 13615.36, 1, 4
5796,  Damara,  , 4916.77, 1, 2
7255,  Nedi,  , 780.67, 1, 1
3631,  Arlina,  , 14357.82, 1, 1
2714,  Alameda,  , 13316.49, 1, 4
1051,  Godard,  , 23760.00, 1, 5
7127,  Garrett,  , 15677.95, 1, 5
5690,  Allister,  , 3966.59, 1, 2
6529,  Cullen,  , 22972.90, 1, 2
9339,  Vaughan,  , 13665.73, 1, 3
3053,  Marcelo,  , 16526.44, 1, 3
2996,  Palm,  , 6998.31, 1, 1
4828,  Lombard,  , 9990.01, 1, 1
8815,  Rupert,  , 10373.98, 1, 1
2100,  Izaak,  , 12038.56, 1, 2
8543,  Kristoffer,  , 19867.08, 1, 2
7615,  Etan,  , 28356.61, 1, 2
