legajo,nombre,genero,sueldo,isEmpty,idSector
3337,Julia,F,23947.42,1,1
7814,Delinda,F,11955.93,1,1
9963,Lyndsie,F,48431.97,1,4
7169,Lockwood,M,38617.38,1,1
6855,Bobina,F,39554.74,1,5
8396,Katey,F,34687.06,1,2
1690,Linn,M,38924.98,1,1
2780,Ev,M,7734.85,1,1
3417,Jo,M,9250.84,1,4
7592,Jaquenetta,F,29327.05,1,3
4259,Elna,F,36296.06,1,3
6754,Dallas,F,24345.3,1,4
4014,Lind,F,41322.01,1,4
4491,Ernest,M,14200.26,1,3
7888,Vicki,F,45322.98,1,3
1893,Jonathon,M,38816.12,1,4
5639,Adena,F,38986.61,1,2
7076,Jolee,F,21664.43,1,2
3900,Clement,M,17251.0,1,2
8525,Guillermo,M,10821.89,1,2
3751,Addy,M,45155.43,1,5
1914,Lita,F,10498.33,1,1
5589,Rockie,M,37208.56,1,1
4869,Margalit,F,38860.61,1,2
9374,Thomasin,F,38113.98,1,4
4189,Allison,F,7901.56,1,2
4236,Abrahan,M,28160.85,1,5
6982,Philis,F,26839.92,1,4
8325,Holly-anne,F,10835.56,1,3
8911,James,M,22964.3,1,5
